"","CityFIPS","City","Arthritis among adults aged >=18 Years","Binge drinking among adults aged >=18 Years","Cancer (excluding skin cancer) among adults aged >=18 Years","Cholesterol screening among adults aged >=18 Years","Chronic kidney disease among adults aged >=18 Years","Chronic obstructive pulmonary disease among adults aged >=18 Years","Coronary heart disease among adults aged >=18 Years","Current asthma among adults aged >=18 Years","Current lack of health insurance among adults aged 18–64 Years","Current smoking among adults aged >=18 Years","Diagnosed diabetes among adults aged >=18 Years","High blood pressure among adults aged >=18 Years","High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years","Mental health not good for >=14 days among adults aged >=18 Years","No leisure-time physical activity among adults aged >=18 Years","Obesity among adults aged >=18 Years","Physical health not good for >=14 days among adults aged >=18 Years","Stroke among adults aged >=18 Years","Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure","Visits to doctor for routine checkup within the past Year among adults aged >=18 Years","Rank","Population","Median","Parkland.as","Percent.of","Spending","Basketball.Hoops","Dog.Parks","Playgrounds","Recreation","Amenities","Raw.Total","ParkScore","ParkScore.Rating"
"76",4075000,"Tulsa",24.9,12.6,6.1,71.3,2.8,7.3,6.8,9.7,17.9,22.1,10.7,35.2,32.8,13.7,33.1,34.1,14,3.4,62.7,66.1,59,411729,19,7,16,6,6,3,10,7,7,55,46,NA
"77",4159000,"Portland",22.9,19.4,6.3,72.7,2.6,5,4.9,9.5,10.6,16.7,8.8,25.9,30.6,12.4,16,25.4,11.7,2.7,54.7,60.8,5,617583,9,19,33,20,14,20,7,7,12,93,77.5,NA
"78",4260000,"Philadelphia",27.1,17.3,5.8,73.3,3.2,7.4,6.5,10.9,17.6,22.4,12.8,34.2,31.4,14.6,31.2,31.6,14,4.1,63,75.4,32,1571435,7,13,37,6,15,1,5,20,10,73,61,NA
"79",4261000,"Pittsburgh",28.6,18.8,6.2,75.2,2.8,6.8,6.2,10,11.9,20.5,10.8,32.8,32.3,12.6,28.6,34.5,12.3,3.4,64.2,73.7,39,309249,3,10,32,7,13,20,16,20,17,69,57.5,NA
"80",4748000,"Memphis",27,11.4,5.8,75.3,3.5,8.8,7.4,10.7,21.2,24.4,15.4,43,33.7,16.4,32.7,38.2,17.3,4.8,69.6,76,84,636392,20,4,8,5,10,3,6,12,8,45,37.5,NA
"81",4805000,"Austin",17.5,19.5,6,75,2.6,5,5.1,7.6,20.5,13.8,9.6,27.5,31,10,24.2,27.2,10.5,2.6,60.1,66.8,46,830593,17,11,15,12,10,14,5,6,9,64,53.5,NA
"82",4817000,"Corpus Christi",22,17,5.4,72.5,3,5.8,6.1,7.9,28.8,18,13,32,33.5,11.7,32,36.3,13.9,3,60.8,69.9,59,322142,6,8,25,7,9,0,16,10,9,55,46,NA
"83",4819000,"Dallas",22.4,15.7,5.6,69.9,3.2,6.6,6.6,8.9,30.3,18.1,13.1,34.8,34,12.3,34.2,36.7,14.5,3.8,61.9,67.7,50,1284472,15,13,18,9,8,2,4,8,6,61,51,NA
"84",4824000,"El Paso",19.1,15.5,5,69.9,3.3,5.3,6.2,7.7,34.5,14.6,14,31.5,32.1,11.8,32.2,34.4,14.2,3.1,59.7,65.5,79,696699,7,20,12,2,7,3,10,9,7,48,40,NA
"85",4827000,"Fort Worth",21.1,16.6,5.7,71.6,3,6.6,6.4,8.9,25.8,17.7,12.1,32.4,33,12.1,31.5,32.7,13.4,3.5,61.3,66.8,79,816268,15,5,16,8,3,1,8,3,4,48,40,NA
