"","CityFIPS","City","Arthritis among adults aged >=18 Years","Binge drinking among adults aged >=18 Years","Cancer (excluding skin cancer) among adults aged >=18 Years","Cholesterol screening among adults aged >=18 Years","Chronic kidney disease among adults aged >=18 Years","Chronic obstructive pulmonary disease among adults aged >=18 Years","Coronary heart disease among adults aged >=18 Years","Current asthma among adults aged >=18 Years","Current lack of health insurance among adults aged 18–64 Years","Current smoking among adults aged >=18 Years","Diagnosed diabetes among adults aged >=18 Years","High blood pressure among adults aged >=18 Years","High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years","Mental health not good for >=14 days among adults aged >=18 Years","No leisure-time physical activity among adults aged >=18 Years","Obesity among adults aged >=18 Years","Physical health not good for >=14 days among adults aged >=18 Years","Stroke among adults aged >=18 Years","Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure","Visits to doctor for routine checkup within the past Year among adults aged >=18 Years","State","Walk.Score","Transit.Score","Bike.Score","Population"
"88",4837000,"Irving",21.2,15.9,5.7,71.4,2.9,6.3,6.2,8.1,26.2,15.9,11.3,31.8,33.8,11,31.8,32.1,12.9,3.2,60.2,67,"TX",43.3,"31.3","39",216290
"89",4841464,"Laredo",20.6,13.9,4.5,66.9,3.9,6,7.5,8.1,43.6,17.3,16.9,33,33.7,13.3,40,40.2,17.7,3.6,59.3,65,"TX",41.3,"--","39.6",236091
"90",4845000,"Lubbock",22,16.4,6,72.3,2.9,6.4,6.2,8.9,23.7,17.6,11.1,33.2,34.7,12,32.3,35.7,13.1,3.1,60.6,67.1,"TX",38,"22","42.8",229573
"91",4858016,"Plano",17.6,16.7,6,77,2.2,4.3,4.5,7.4,14.3,12.1,8.1,26.6,32.6,8.5,21.8,27.4,8.4,2.1,58.7,68.3,"TX",38.9,"17","47.8",259841
"92",4865000,"San Antonio",21.9,15,5.2,72.5,3.1,5.6,6.2,8.3,29.7,14.6,12.7,30.7,33.8,11.4,33.6,34.9,13.9,3.1,60.5,68,"TX",37.6,"36.1","41.9",1327407
"93",5116000,"Chesapeake",22.4,15.8,6.1,78.5,2.5,5.5,5.1,8.6,12.7,17.4,10.1,32.5,31.8,11,26.1,32.4,10.3,2.9,63.7,76,"VA",22.1,"13","34.6",222209
"94",5157000,"Norfolk",24.6,16.3,5.8,77,2.9,6.8,5.9,9.1,15.7,20.2,12.3,35.5,31.1,12.3,28.3,35.2,12.3,3.8,64.8,76.4,"VA",45.4,"35.8","45.3",242803
"95",5167000,"Richmond",23.2,16,5.9,76.2,3.1,6.9,6.2,9.6,17.6,20.9,13.3,36.8,31.7,12.7,28.5,34,13,4.2,66.5,75.7,"VA",51.4,"--","50.5",204214
"96",5182000,"Virginia Beach",20.5,18.4,6.2,79.6,2.3,5.1,4.8,8.4,11.6,17.2,8.7,30.3,31.4,10.4,24.4,28.6,9.4,2.5,60.6,75,"VA",32.9,"19.7","41.3",437994
"97",5363000,"Seattle",19.7,19.6,6.3,74.9,2.5,4.1,4.3,8.9,9,11.5,7.4,25.6,29.7,9.7,14.7,22.6,8.9,2.3,49.8,61.2,"WA",73.1,"59.6","70",608660
"98",5548000,"Madison",21,22.4,6.3,75.6,2.3,4.6,4.9,9.3,8.7,15.3,7.1,25.3,29.7,9.9,19.2,27.1,9.7,2.4,57,68.6,"WI",48.7,"38.4","62.7",233209
"99",5553000,"Milwaukee",26.6,17.8,5.8,73.4,3.3,6.8,6.6,12.3,16.7,24.5,12.7,37.5,32.9,13.9,28.5,38.3,15.4,4.2,61.8,72,"WI",62.1,"48.5","54.4",594833
